Drug1,Drug2,Loewe
lapatinib,erlotinib,-0.1197
crizotinib,fluorouracil,-0.3097
letrozole,fluorouracil,-0.5403
ifosfamide,cytarabine,-0.4774
fluorouracil,vorinostat,-0.1872
fluorouracil,mitoxantrone,-0.1311
floxuridine,fluorouracil,-0.1467
topotecan,cytarabine,-0.1978
paclitaxel,cytarabine,0.1478
sirolimus,cabazitaxel,-0.5536
decitabine,pemetrexed,-0.2703
fluorouracil,crizotinib,-0.285
cladribine,fluorouracil,-0.3619
fluorouracil,dacarbazine,-0.4717
capecitabine,fluorouracil,-0.5435
floxuridine,dexrazoxane,-0.2601
fluorouracil,pazopanib,-0.531
erlotinib,fluorouracil,-0.5005
floxuridine,daunorubicin,-0.0306
procarbazine,fluorouracil,-0.4348
thalidomide_hct,fluorouracil,-0.6198
fluorouracil,ruxolitinib,-0.5001
fluorouracil,vemurafenib_hct,-0.5507
sirolimus,mitoxantrone,-0.2355
nelarabine,fluorouracil,-0.571
docetaxel,cytarabine,-0.4
procarbazine,cytarabine,-0.4667
valrubicin,tamoxifen,-0.4869
methoxsalen,cytarabine,-0.4993
mitoxantrone,crizotinib,-0.3826
floxuridine,crizotinib,-0.2475
floxuridine,abiraterone,-0.4376
floxuridine,dacarbazine,-0.3873
floxuridine,vismodegib,-0.4264
mitoxantrone,vismodegib,-0.4641
floxuridine,pazopanib,-0.4102
floxuridine,vandetanib,-0.4105
megestrolacetate,dexrazoxane,-0.3063
fulvestrant,temozolomide_hct,-0.0721
vinblastine,lapatinib,0.6907
vorinostat,adavosertib,-0.4361
cytarabine,fluorouracil,-0.1206
docetaxel,fluorouracil,-0.0962
fluorouracil,dexrazoxane,-0.2254
thioguanine,fluorouracil,-0.0676
romidepsin,fluorouracil,-0.0982
fluorouracil,etoposide,-0.0263
paclitaxel,cabazitaxel,-0.1866
thiotepa,fluorouracil,-0.1686
thioguanine,pemetrexed,-0.149
pralatrexate,fluorouracil,-0.1795
docetaxel,cabazitaxel,-0.0399
azacitidine,cytarabine,-0.1886
vorinostat,fluorouracil,-0.1723
busulfan,fluorouracil,-0.3754
paclitaxel,mitoxantrone,-0.1118
chlorambucil,cabazitaxel,-0.4769
azacitidine,fluorouracil,-0.2881
estramustinephosphatesodium,fluorouracil,-0.4187
methotrexate,dexrazoxane,-0.267
cyclophosphamide,fluorouracil,-0.4771
celecoxib,fluorouracil,-0.4292
fluorouracil,vandetanib,-0.4915
dasatinib,fluorouracil,-0.4006
gemcitabine_hct,cabazitaxel,-0.4681
ifosfamide,fluorouracil,-0.5244
fluorouracil,abiraterone,-0.4744
valrubicin,fluorouracil,-0.5029
methoxsalen,fluorouracil,-0.5055
cytarabine,thiotepa,-0.3701
ixabepilone,fluorouracil,-0.4554
etoposide,mitoxantrone,-0.2567
floxuridine,etoposide,-0.2075
anastrozole,fluorouracil,-0.565
fluorouracil,vismodegib,-0.5176
temozolomide_hct,fluorouracil,-0.5566
tamoxifen,fluorouracil,-0.4601
lapatinib,fluorouracil,-0.5358
decitabine,thioguanine,-0.1013
crizotinib,cabazitaxel,-0.4439
altretamine,cabazitaxel,-0.7597
busulfan,cytarabine,-0.451
chlorambucil,mitoxantrone,-0.2592
erlotinib,valrubicin,-0.5274
valrubicin,fludarabine,-0.3814
sorafenib,cytarabine,-0.4382
tamoxifen,cabazitaxel,-0.8067
aminolevulinicacid,cytarabine,-0.4749
teniposide_hct,doxorubicin,-0.4208
paclitaxel,crizotinib,-0.3839
temozolomide_hct,cytarabine,-0.5255
cytarabine,letrozole,-0.5479
thalidomide_hct,cytarabine,-0.4506
valrubicin,letrozole,-0.5155
temozolomide_hct,cabazitaxel,-0.4958
valrubicin,doxorubicin,-0.4796
cabazitaxel,vemurafenib_hct,-0.6038
bendamustine,cytarabine,-0.4577
hydroxyurea,cytarabine,-0.462
fulvestrant,mitoxantrone,-0.4447
floxuridine,lenalidomide_hct,-0.4091
altretamine,mitoxantrone,-0.3926
topotecan,tamoxifen,-0.3639
vemurafenib_hct,cabazitaxel,-0.5637
mitoxantrone,abiraterone,-0.4378
aminolevulinicacid,mitoxantrone,-0.4137
floxuridine,altretamine,-0.4575
thioguanine,altretamine,-0.4453
topotecan,sunitinib,-0.416
crizotinib,teniposide_hct,-0.1642
topotecan,doxorubicin,-0.3806
procarbazine,mitoxantrone,-0.432
streptozocin,dexrazoxane,-0.1995
estramustinephosphatesodium,dexrazoxane,-0.2306
dexrazoxane,gefitinib,-0.1703
floxuridine,raloxifene,-0.3819
valrubicin,dexrazoxane,-0.2732
dexrazoxane,abiraterone,-0.2228
dexrazoxane,vandetanib,-0.2651
dacarbazine,dexrazoxane,-0.2264
dexrazoxane,vismodegib,-0.2719
allopurinol,dexrazoxane,-0.2894
docetaxel,abiraterone,-0.3893
altretamine,dexrazoxane,-0.2869
procarbazine,dexrazoxane,-0.2208
sunitinib,dexrazoxane,-0.2942
docetaxel,vemurafenib_hct,-0.5044
gemcitabine_hct,temozolomide_hct,-0.2688
sirolimus,abiraterone,-0.2391
decitabine,letrozole,-0.239
procarbazine,busulfan,-0.0496
axitinib,abiraterone,-0.1337
sunitinib,sirolimus,-0.0513
fulvestrant,celecoxib,-0.046
imiquimod_hct,hydroxyurea,-0.089
vinblastine,vorinostat,0.4651
adavosertib,lapatinib,-0.1712
adavosertib,erlotinib,-0.1409
temozolomide_hct,erlotinib,-0.1792
lapatinib,mk2206_hct,-0.1495
fluorouracil,cabazitaxel,-0.271
cytarabine,methotrexate,-0.1088
methotrexate,valrubicin,-0.2325
ixabepilone,cytarabine,-0.1725
methotrexate,cabazitaxel,-0.0006
pemetrexed,cabazitaxel,-0.2141
clofarabine,fluorouracil,-0.0884
mitoxantrone,cabazitaxel,-0.322
methotrexate,pemetrexed,-0.0781
cladribine,methotrexate,-0.2144
fluorouracil,vinorelbine,-0.0702
mercaptopurine,fluorouracil,-0.0508
romidepsin,cabazitaxel,-0.017
ixabepilone,paclitaxel,-0.3446
fluorouracil,teniposide_hct,-0.0653
azacitidine,valrubicin,-0.0837
mepacrine,fluorouracil,-0.0868
vinblastine,fluorouracil,-0.1278
sorafenib,cabazitaxel,-0.494
romidepsin,cytarabine,-0.1286
sorafenib,fluorouracil,-0.12
dexrazoxane,cabazitaxel,-0.4149
methotrexate,mitoxantrone,-0.0762
floxuridine,mitoxantrone,-0.0384
gemcitabine_hct,cytarabine,-0.0417
fluorouracil,gefitinib,-0.372
vorinostat,cabazitaxel,-0.3637
methotrexate,etoposide,-0.2481
clofarabine,methotrexate,-0.2805
valrubicin,cladribine,-0.1541
fludarabine,fluorouracil,-0.3598
bortezomib,cytarabine,-0.2083
floxuridine,thioguanine,-0.1492
mepacrine,cytarabine,-0.197
vinblastine,mitoxantrone,-0.0738
cladribine,cytarabine,-0.155
fluorouracil,megestrolacetate,-0.4992
cytarabine,dactinomycin,-0.0654
methotrexate,sunitinib,-0.4626
fluorouracil,axitinib,-0.4022
valrubicin,floxuridine,-0.1988
fluorouracil,lenalidomide_hct,-0.5054
bortezomib,topotecan,-0.1335
dexrazoxane,pemetrexed,-0.2615
bortezomib,fluorouracil,-0.4731
azacitidine,cabazitaxel,-0.635
floxuridine,vinorelbine,-0.182
vorinostat,valrubicin,-0.2245
fluorouracil,doxorubicin,-0.4661
romidepsin,exemestane,-0.2111
vorinostat,cytarabine,-0.2093
allopurinol,fluorouracil,-0.5137
floxuridine,exemestane,-0.3853
teniposide_hct,mitoxantrone,-0.1379
cytarabine,floxuridine,-0.2473
azacitidine,romidepsin,-0.4099
mitoxantrone,doxorubicin,-0.4992
methotrexate,chlorambucil,-0.324
cytarabine,etoposide,-0.0056
imiquimod_hct,fluorouracil,-0.5634
capecitabine,methotrexate,-0.429
streptozocin,fluorouracil,-0.4658
imiquimod_hct,cabazitaxel,-0.4917
decitabine,mitoxantrone,-0.2479
altretamine,fluorouracil,-0.5611
floxuridine,teniposide_hct,-0.1346
nilotinib,fluorouracil,-0.5708
clofarabine,cytarabine,-0.2052
dexrazoxane,mitoxantrone,-0.2449
anastrozole,cabazitaxel,-0.5113
sirolimus,thioguanine,-0.1846
cabazitaxel,abiraterone,-0.7071
decitabine,cytarabine,-0.3508
vinorelbine,doxorubicin,-0.5335
fludarabine,pemetrexed,-0.3554
streptozocin,methotrexate,-0.5484
vemurafenib_hct,fluorouracil,-0.5864
celecoxib,cabazitaxel,-0.5858
thioguanine,dexrazoxane,-0.2013
nilotinib,cabazitaxel,-0.6909
celecoxib,pemetrexed,-0.3964
thioguanine,daunorubicin,-0.1283
fulvestrant,fluorouracil,-0.438
azacitidine,pemetrexed,-0.2593
methotrexate,crizotinib,-0.3559
ixabepilone,cabazitaxel,-0.5466
daunorubicin,mitoxantrone,-0.0738
bortezomib,cabazitaxel,-0.4936
cyclophosphamide,valrubicin,-0.5575
imatinib,cytarabine,-0.4481
aminolevulinicacid,fluorouracil,-0.507
mepacrine,gemcitabine_hct,-0.1485
cabazitaxel,ruxolitinib,-0.6908
floxuridine,chlorambucil,-0.2954
bendamustine,fluorouracil,-0.4769
azacitidine,thioguanine,-0.1818
cabazitaxel,vismodegib,-0.6603
vinblastine,cytarabine,-0.4197
mercaptopurine,azacitidine,-0.0797
methotrexate,megestrolacetate,-0.4331
cyclophosphamide,cytarabine,-0.5036
bortezomib,cladribine,-0.2115
crizotinib,mitoxantrone,-0.3696
imatinib,fluorouracil,-0.5502
methotrexate,lenalidomide_hct,-0.4611
allopurinol,cytarabine,-0.5094
methotrexate,abiraterone,-0.4564
cladribine,dactinomycin,-0.126
mitoxantrone,axitinib,-0.335
clofarabine,axitinib,-0.2588
valrubicin,vinblastine,-0.3379
nilotinib,cytarabine,-0.4214
cabazitaxel,raloxifene,-0.6346
valrubicin,sunitinib,-0.5028
estramustinephosphatesodium,cytarabine,-0.5038
imiquimod_hct,valrubicin,-0.547
teniposide_hct,dexrazoxane,-0.1952
topotecan,vorinostat,-0.2657
tamoxifen,pemetrexed,-0.4577
erlotinib,pemetrexed,-0.4676
valrubicin,nilotinib,-0.5428
methotrexate,vemurafenib_hct,-0.4627
bortezomib,mercaptopurine,-0.3734
imiquimod_hct,pemetrexed,-0.4771
valrubicin,imatinib,-0.5292
fulvestrant,thioguanine,-0.3632
floxuridine,gefitinib,-0.4107
thioguanine,gefitinib,-0.374
estramustinephosphatesodium,thioguanine,-0.3353
ifosfamide,pemetrexed,-0.4877
cabazitaxel,vandetanib,-0.72
busulfan,mitoxantrone,-0.3687
vinblastine,dexrazoxane,-0.1617
streptozocin,cytarabine,-0.426
cyclophosphamide,mitoxantrone,-0.423
celecoxib,mitoxantrone,-0.4437
cyclophosphamide,thioguanine,-0.381
mepacrine,dexrazoxane,-0.1691
streptozocin,pemetrexed,-0.4571
topotecan,docetaxel,-0.3752
decitabine,dexrazoxane,-0.1532
