Drug1,Drug2,Scores
Abiraterone, Afatinib,
Abiraterone, Allopurinol,
Abiraterone, Altretamine,
Abiraterone, AminolevulinicAcid,
Abiraterone, Anastrozole,
Abiraterone, Axitinib,
Abiraterone, Azacitidine,
Abiraterone, AZD4547,
Abiraterone, AZD7762,
Abiraterone, AZD8055,
Abiraterone, Bendamustine,
Abiraterone, Bortezomib,
Abiraterone, Busulfan,
Abiraterone, Cabazitaxel,
Abiraterone, Camptothecin,
Abiraterone, Capecitabine,
Abiraterone, Celecoxib,
Abiraterone, Chlorambucil,
Abiraterone, Cladribine,
Abiraterone, Clofarabine,
Abiraterone, Crizotinib,
Abiraterone, Cyclophosphamide,
Abiraterone, Cytarabine,
Abiraterone, Dabrafenib,
Abiraterone, Dacarbazine,
Abiraterone, Dactinomycin,
Abiraterone, Dasatinib,
Abiraterone, Daunorubicin,
Abiraterone, Decitabine,
Abiraterone, Dexrazoxane,
Abiraterone, Docetaxel,
Abiraterone, Doxorubicin,
Abiraterone, Erlotinib,
Abiraterone, EstramustinePhosphateSodium,
Abiraterone, Etoposide,
Abiraterone, Exemestane,
Abiraterone, Floxuridine,
Abiraterone, Fludarabine,
Abiraterone, Fluorouracil,
Abiraterone, Fulvestrant,
Abiraterone, Gefitinib,
Abiraterone, Gemcitabine,
Abiraterone, Hydroxyurea,
Abiraterone, Ifosfamide,
Abiraterone, Imatinib,
Abiraterone, Imiquimod,
Abiraterone, Ixabepilone,
Abiraterone, Lapatinib,
Abiraterone, Lenalidomide,
Abiraterone, Letrozole,
Abiraterone, Linsitinib,
Abiraterone, Megestrol,
Abiraterone, Mepacrine,
Abiraterone, Mercaptopurine,
Abiraterone, Metformin,
Abiraterone, Methotrexate,
Abiraterone, Methoxsalen,
Abiraterone, Mitotane,
Abiraterone, Mitoxantrone,
Abiraterone, MK1775,
Abiraterone, MK2206,
Abiraterone, Navitoclax,
Abiraterone, Nelarabine,
Abiraterone, Nilotinib,
Abiraterone, Nutlin,
Abiraterone, Paclitaxel,
Abiraterone, Pazopanib,
