Drug1,Drug2,Loewe
paclitaxel,vemurafenib,-0.3297
pralatrexate,fluorouracil,-0.2032
dasatinib,fluorouracil,-0.1979
ixabepilone,cabazitaxel,-0.4874
procarbazine,fluorouracil,-0.4662
lapatinib,fluorouracil,-0.5352
streptozocin,paclitaxel,-0.4768
cabazitaxel,ruxolitinib,-0.7245
nelarabine,pemetrexed,-0.3402
docetaxel,gefitinib,-0.355
megestrolacetate,pemetrexed,-0.3267
allopurinol,pemetrexed,-0.4164
capecitabine,pemetrexed,-0.4138
temozolomide,pemetrexed,-0.4529
vorinostat,lapatinib,0.0355
metformin,erlotinib,-0.1615
vemurafenib,cabazitaxel,-0.3413
cytarabine,cabazitaxel,-0.3157
vemurafenib,fluorouracil,-0.0421
cabazitaxel,vemurafenib,-0.3627
bortezomib,paclitaxel,-0.1425
vinblastine,fluorouracil,-0.1172
cladribine,fluorouracil,-0.3065
sunitinib,cabazitaxel,-0.5073
methoxsalen,fluorouracil,-0.4737
azacitidine,fluorouracil,-0.4215
gemcitabine,cabazitaxel,-0.5074
sunitinib,fluorouracil,-0.4567
mitoxantrone,pemetrexed,-0.1006
nelarabine,fluorouracil,-0.5256
cabazitaxel,vandetanib,-0.6506
imatinib,fluorouracil,-0.4929
docetaxel,vemurafenib,-0.3096
fluorouracil,vismodegib,-0.4496
floxuridine,abiraterone,-0.3679
procarbazine,methotrexate,-0.4119
paclitaxel,crizotinib,-0.5127
pemetrexed,doxorubicin,-0.3047
cyclophosphamide,pemetrexed,-0.3072
erlotinib,methotrexate,-0.5004
celecoxib,pemetrexed,-0.4103
estramustinephosphatesodium,pemetrexed,-0.371
methotrexate,dacarbazine,-0.3797
fludarabine,pemetrexed,-0.3919
erlotinib,pemetrexed,-0.43
anastrozole,pemetrexed,-0.4209
dacarbazine,pemetrexed,-0.2919
mitotane,pemetrexed,-0.4126
pemetrexed,pazopanib,-0.4097
methotrexate,ruxolitinib,-0.2971
erlotinib,vemurafenib,-0.441
thioguanine,altretamine,-0.5561
dasatinib,dexrazoxane,-0.1517
azacitidine,dexrazoxane,-0.1833
imatinib,dactinomycin,-0.1471
topotecan,procarbazine,0.029
hydroxyurea,dacarbazine,0.0054
vinblastine,tamoxifen,-0.167
letrozole,lenalidomide,-0.0954
procarbazine,aminolevulinicacid,0.0074
thalidomide,allopurinol,-0.0265
celecoxib,vandetanib,-0.0852
allopurinol,mitotane,-0.0319
thiotepa,celecoxib,-0.0624
cladribine,raloxifene,-0.0812
lapatinib,capecitabine,-0.0142
lapatinib,dacarbazine,-0.0767
lapatinib,erlotinib,-0.0239
floxuridine,fluorouracil,-0.1436
paclitaxel,fluorouracil,-0.1177
mepacrine,cabazitaxel,-0.3289
pemetrexed,cabazitaxel,-0.3756
thioguanine,fluorouracil,0.0778
fluorouracil,vemurafenib,-0.0572
docetaxel,cabazitaxel,0.0019
paclitaxel,pemetrexed,-0.0896
clofarabine,fluorouracil,-0.0705
sirolimus,fluorouracil,-0.1124
paclitaxel,thioguanine,-0.1841
sorafenib,fluorouracil,-0.0986
paclitaxel,dactinomycin,0.2029
bortezomib,methotrexate,-0.1116
floxuridine,vinorelbine,-0.2417
floxuridine,thioguanine,-0.268
romidepsin,vemurafenib,-0.2142
romidepsin,pemetrexed,-0.1681
sorafenib,cabazitaxel,-0.537
ixabepilone,celecoxib,-0.612
hydroxyurea,cabazitaxel,-0.4006
mercaptopurine,fluorouracil,-0.1271
dasatinib,cabazitaxel,-0.5019
thioguanine,vinorelbine,-0.0723
vorinostat,fluorouracil,-0.2725
imiquimod,cabazitaxel,-0.5321
methotrexate,pemetrexed,-0.044
crizotinib,cabazitaxel,-0.4864
vemurafenib,pemetrexed,-0.1091
thiotepa,fluorouracil,-0.3995
crizotinib,fluorouracil,-0.3926
paclitaxel,cladribine,-0.1879
letrozole,cabazitaxel,-0.5215
cabazitaxel,crizotinib,-0.5728
thalidomide,cabazitaxel,-0.5034
nelarabine,cabazitaxel,-0.5467
mercaptopurine,methotrexate,-0.425
busulfan,fluorouracil,-0.4421
bortezomib,fluorouracil,-0.4468
dactinomycin,fluorouracil,-0.4504
fluorouracil,axitinib,-0.4644
docetaxel,exemestane,-0.2217
vorinostat,cabazitaxel,-0.5326
sirolimus,pemetrexed,-0.095
thalidomide,fluorouracil,-0.5039
azacitidine,cabazitaxel,-0.8165
mercaptopurine,paclitaxel,-0.2873
bendamustine,fluorouracil,-0.5408
aminolevulinicacid,cabazitaxel,-0.3696
mepacrine,romidepsin,-0.2418
erlotinib,fluorouracil,-0.5139
allopurinol,fluorouracil,-0.4372
fluorouracil,pazopanib,-0.5233
capecitabine,fluorouracil,-0.5291
mepacrine,pemetrexed,-0.3116
sorafenib,vemurafenib,-0.1565
aminolevulinicacid,fluorouracil,-0.4436
dexrazoxane,pemetrexed,-0.2741
floxuridine,chlorambucil,-0.342
mitotane,cabazitaxel,-0.6285
valrubicin,fluorouracil,-0.5638
methoxsalen,paclitaxel,-0.5099
nilotinib,fluorouracil,-0.5431
cytarabine,pemetrexed,-0.0688
methotrexate,mitoxantrone,-0.1673
sorafenib,pemetrexed,-0.3044
fluorouracil,crizotinib,-0.3682
vemurafenib,gefitinib,-0.233
daunorubicin,pemetrexed,-0.0349
temozolomide,fluorouracil,-0.5514
cabazitaxel,vismodegib,-0.6888
aminolevulinicacid,paclitaxel,-0.3892
methotrexate,teniposide,-0.2218
cabazitaxel,axitinib,-0.7189
cyclophosphamide,paclitaxel,-0.3866
dactinomycin,cabazitaxel,-0.4867
paclitaxel,nilotinib,-0.3475
mercaptopurine,pemetrexed,-0.1469
topotecan,vemurafenib,-0.2001
etoposide,pemetrexed,-0.2904
floxuridine,vismodegib,-0.361
erlotinib,paclitaxel,-0.4668
streptozocin,methotrexate,-0.3686
imiquimod,methotrexate,-0.3806
topotecan,pemetrexed,-0.1186
busulfan,methotrexate,-0.5079
dasatinib,paclitaxel,0.1029
paclitaxel,imatinib,-0.3395
paclitaxel,vandetanib,-0.5895
aminolevulinicacid,pemetrexed,-0.3708
thioguanine,teniposide,-0.1682
mercaptopurine,vemurafenib,-0.0155
floxuridine,dacarbazine,-0.4363
allopurinol,methotrexate,-0.5295
decitabine,exemestane,-0.309
bendamustine,pemetrexed,-0.3541
thioguanine,etoposide,-0.3442
crizotinib,pemetrexed,-0.3343
floxuridine,raloxifene,-0.3754
crizotinib,vemurafenib,-0.2886
floxuridine,pazopanib,-0.412
pemetrexed,crizotinib,-0.328
methotrexate,vandetanib,-0.2323
abiraterone,vemurafenib,-0.3158
ixabepilone,pemetrexed,-0.2911
fulvestrant,pemetrexed,-0.3702
dasatinib,romidepsin,-0.309
pemetrexed,vandetanib,-0.3325
decitabine,vemurafenib,-0.2188
dactinomycin,pemetrexed,-0.3529
paclitaxel,raloxifene,-0.5556
dexrazoxane,mitoxantrone,0.0041
cabazitaxel,raloxifene,-0.6334
sunitinib,pemetrexed,-0.373
vemurafenib,abiraterone,-0.3741
bortezomib,pemetrexed,-0.3696
imatinib,vemurafenib,-0.3431
chlorambucil,mitoxantrone,-0.2176
pemetrexed,axitinib,-0.3626
vemurafenib,vandetanib,-0.3512
floxuridine,megestrolacetate,-0.4621
mitotane,romidepsin,-0.3109
thioguanine,crizotinib,-0.3062
romidepsin,vinblastine,-0.2954
pemetrexed,abiraterone,-0.3658
letrozole,pemetrexed,-0.4361
methoxsalen,pemetrexed,-0.3583
azacitidine,pemetrexed,-0.3635
mitotane,vemurafenib,-0.4569
mitoxantrone,gefitinib,-0.3238
topotecan,mitoxantrone,-0.1816
vandetanib,vemurafenib,-0.3773
nilotinib,pemetrexed,-0.4538
valrubicin,dasatinib,-0.257
bortezomib,hydroxyurea,-0.4272
topotecan,dactinomycin,-0.1061
valrubicin,pemetrexed,-0.3938
romidepsin,letrozole,-0.2562
fulvestrant,vemurafenib,-0.4117
pemetrexed,ruxolitinib,-0.3535
paclitaxel,nelarabine,0.0054
sirolimus,valrubicin,-0.3344
temozolomide,vemurafenib,-0.4149
vinorelbine,axitinib,-0.5375
cyclophosphamide,thioguanine,-0.3342
vorinostat,valrubicin,-0.4017
imatinib,pemetrexed,-0.432
teniposide,etoposide,-0.1399
docetaxel,vandetanib,-0.3233
methotrexate,pazopanib,-0.2967
ifosfamide,pemetrexed,-0.4036
azacitidine,vinorelbine,-0.3212
pazopanib,vemurafenib,-0.4466
decitabine,docetaxel,-0.1439
lapatinib,vemurafenib,-0.4959
mitotane,vinorelbine,-0.4538
capecitabine,vemurafenib,-0.4148
docetaxel,crizotinib,-0.3689
imiquimod,pemetrexed,-0.4198
methotrexate,axitinib,-0.2463
vinorelbine,vandetanib,-0.5467
allopurinol,thioguanine,-0.3736
streptozocin,pemetrexed,-0.4076
docetaxel,abiraterone,-0.4308
vinorelbine,pazopanib,-0.5276
tamoxifen,exemestane,-0.3463
docetaxel,sirolimus,-0.1339
bortezomib,sunitinib,-0.2904
mitotane,thioguanine,-0.4464
daunorubicin,etoposide,-0.1819
docetaxel,megestrolacetate,-0.4815
exemestane,pazopanib,-0.3072
lapatinib,pemetrexed,-0.4185
mercaptopurine,dasatinib,0.1407
cladribine,floxuridine,-0.1224
